ANO;TITULO;AUTORES
2011;Interactive Rendering Of Indoor And Urban Environments On Handheld Devices By Combining Visibility Algorithms With Spatial Data Structures;Maria Andréia Formico Rodrigues
2011;Kernel Machines For Epilepsy Diagnosis Via Eeg Signal Classification: A Comparative Study;Clodoaldo Ap Moraes De Lima
2011;Kernel Machines For Epilepsy Diagnosis Via Eeg Signal Classification: A Comparative Study;André Luís Vasconcelos Coelho
2011;Multi-Objective Design Of Hierarchical Consensus Functions For Clustering Ensembles Via Genetic Programming;André Luís Vasconcelos Coelho
2011;Multi-Objective Design Of Hierarchical Consensus Functions For Clustering Ensembles Via Genetic Programming;Everlândio Fernandes
2011;Multi-Objective Design Of Hierarchical Consensus Functions For Clustering Ensembles Via Genetic Programming;Katti Faceli
2011;Nondestructive Characterization And Evaluation Of Embrittlement Kinetics And Elastic Constants Of Duplex Stainless Steel Saf 2205 For Different Aging Times At 425 ºc And 475 ºc;Vera Lúcia De Araújo Freitas
2011;Nondestructive Characterization And Evaluation Of Embrittlement Kinetics And Elastic Constants Of Duplex Stainless Steel Saf 2205 For Different Aging Times At 425 ºc And 475 ºc;P G Normando
2011;Nondestructive Characterization And Evaluation Of Embrittlement Kinetics And Elastic Constants Of Duplex Stainless Steel Saf 2205 For Different Aging Times At 425 ºc And 475 ºc;Victor Hugo Costa De Albuquerque
2011;Nondestructive Characterization And Evaluation Of Embrittlement Kinetics And Elastic Constants Of Duplex Stainless Steel Saf 2205 For Different Aging Times At 425 ºc And 475 ºc;E M Silva
2011;Nondestructive Characterization And Evaluation Of Embrittlement Kinetics And Elastic Constants Of Duplex Stainless Steel Saf 2205 For Different Aging Times At 425 ºc And 475 ºc;Antonio Almeida Silva
2011;Nondestructive Characterization And Evaluation Of Embrittlement Kinetics And Elastic Constants Of Duplex Stainless Steel Saf 2205 For Different Aging Times At 425 ºc And 475 ºc;J M R S Tavares
2011;On The Concept Of Density Control And Its Application To A Hybrid Optimization Framework: Investigation Into Cutting Problems;Plácido Rogerio Pinheiro
2011;On The Concept Of Density Control And Its Application To A Hybrid Optimization Framework: Investigation Into Cutting Problems;Andre Luiz Vasconcelos Coelho
2011;On The Concept Of Density Control And Its Application To A Hybrid Optimization Framework: Investigation Into Cutting Problems;Alexei Barbosa De Aguiar
2011;On The Concept Of Density Control And Its Application To A Hybrid Optimization Framework: Investigation Into Cutting Problems;Tiberius De Oliveira E Bonates
2011;On The Concept Of Density Control And Its Application To A Hybrid Optimization Framework: Investigation Into Cutting Problems;Plácido Rogério Pinheiro
2011;On The Concept Of Density Control And Its Application To A Hybrid Optimization Framework: Investigation Into Cutting Problems;André Luís Vasconcelos Coelho
2011;On The Concept Of Density Control And Its Application To A Hybrid Optimization Framework: Investigation Into Cutting Problems;Alexei Barbosa De Aguiar
2011;On The Concept Of Density Control And Its Application To A Hybrid Optimization Framework: Investigation Into Cutting Problems;Tibérius De Oliveira E Bonates
2011;Precipitates Segmentation From Scanning Electron Microscope Images Through Machine Learning Techniques;J P Papa
2011;Precipitates Segmentation From Scanning Electron Microscope Images Through Machine Learning Techniques;C R Pereira
2011;Precipitates Segmentation From Scanning Electron Microscope Images Through Machine Learning Techniques;Victor Hugo Costa De Albuquerque
2011;Precipitates Segmentation From Scanning Electron Microscope Images Through Machine Learning Techniques;Cleiton Carvalho Silva
2011;Precipitates Segmentation From Scanning Electron Microscope Images Through Machine Learning Techniques;Alexandre Xavier Falcão
2011;Precipitates Segmentation From Scanning Electron Microscope Images Through Machine Learning Techniques;J M R S Tavares
2011;Reducing Incomparability In Multiciteria Decision Analysis: An Extension Of The Zapros Methods;Isabele Tamanini
2011;Reducing Incomparability In Multiciteria Decision Analysis: An Extension Of The Zapros Methods;Plácido Rogerio Pinheiro
2011;Soluções Tecnológicas E Metodológicas Aplicadas Em Espaços De Conteúdos Digitais De Produção Desse Conteúdo E De Experiências De Aprendizado Via Tv Digital;Maria Elizabeth Sucupira Furtado
2011;Soluções Tecnológicas E Metodológicas Aplicadas Em Espaços De Conteúdos Digitais De Produção Desse Conteúdo E De Experiências De Aprendizado Via Tv Digital;Italo Matos
2011;Soluções Tecnológicas E Metodológicas Aplicadas Em Espaços De Conteúdos Digitais De Produção Desse Conteúdo E De Experiências De Aprendizado Via Tv Digital;Rafaela Ponte Lisboa
2011;Soluções Tecnológicas E Metodológicas Aplicadas Em Espaços De Conteúdos Digitais De Produção Desse Conteúdo E De Experiências De Aprendizado Via Tv Digital;Hermínio Borges Neto
2011;Towards A Verbal Decision Analysis On The Selecting Practices Of Framework Scrum;Thais Cristina Sampaio Machado
2011;Towards A Verbal Decision Analysis On The Selecting Practices Of Framework Scrum;Plácido Rogerio Pinheiro
2011;Towards A Verbal Decision Analysis On The Selecting Practices Of Framework Scrum;Marcony Leal De Lima Marcelo
2011;Towards A Verbal Decision Analysis On The Selecting Practices Of Framework Scrum;Henrique Farias Landim
2011;Towards An Applied To The Diagnosis Of Psychological Disorders;Luciano Comin Nunes
2011;Towards An Applied To The Diagnosis Of Psychological Disorders;Plácido Rogerio Pinheiro
2011;Towards An Applied To The Diagnosis Of Psychological Disorders;Tarcísio Cavalcante Pequeno
2011;Towards An Applied To The Diagnosis Of Psychological Disorders;Mirian Caliope Dantas Pinheiro
2011;Towards The Applied Hybrid Model In Decision Making: A Neuropsychological Diagnosis Of Alzheimer'S Disease Study Case;Ana Karoline Araújo De Castro
2011;Towards The Applied Hybrid Model In Decision Making: A Neuropsychological Diagnosis Of Alzheimer'S Disease Study Case;Plácido Rogerio Pinheiro
2011;Towards The Applied Hybrid Model In Decision Making: A Neuropsychological Diagnosis Of Alzheimer'S Disease Study Case;Mirian Caliope Dantas Pinheiro
2011;Towards The Applied Hybrid Model In Decision Making: A Neuropsychological Diagnosis Of Alzheimer'S Disease Study Case;Isabelle Tamanini
2011;Tradeoffs In Process Strategy Games With Application In The Wdm Reconfiguration Problem;Nathann Cohen
2011;Tradeoffs In Process Strategy Games With Application In The Wdm Reconfiguration Problem;David Coudert
2011;Tradeoffs In Process Strategy Games With Application In The Wdm Reconfiguration Problem;Dorian Mazauric
2011;Tradeoffs In Process Strategy Games With Application In The Wdm Reconfiguration Problem;Napoleão Vieira Nepomuceno
2011;Tradeoffs In Process Strategy Games With Application In The Wdm Reconfiguration Problem;Nicolas Nisse
2011;Verbal Decision Analysis Applied On The Optimization Of Alzheimer'S Disease Diagnosis: A Study Case Based On Neuroimaging;Isabele Tamanini
2011;Verbal Decision Analysis Applied On The Optimization Of Alzheimer'S Disease Diagnosis: A Study Case Based On Neuroimaging;Ana Karolina Araújo De Castro
2011;Verbal Decision Analysis Applied On The Optimization Of Alzheimer'S Disease Diagnosis: A Study Case Based On Neuroimaging;Plácido Rogerio Pinheiro
2011;Verbal Decision Analysis Applied On The Optimization Of Alzheimer'S Disease Diagnosis: A Study Case Based On Neuroimaging;Mirian Caliope Dantas Pinheiro
2011;Visual Object Tracking By An Evolutionary Self-Organizing Neural Network;José Everardo Bessa Maia
2011;Visual Object Tracking By An Evolutionary Self-Organizing Neural Network;Guilherme De Alencar Barreto
2011;Visual Object Tracking By An Evolutionary Self-Organizing Neural Network;André Luís Vasconcelos Coelho
2012;A Hybrid Approach Of Verbal Decision Analysis And Machine Learning;Isabelle Tamanini
2012;A Hybrid Approach Of Verbal Decision Analysis And Machine Learning;Plácido Rogerio Pinheiro
2012;A Hybrid Approach Of Verbal Decision Analysis And Machine Learning;Cicero Nogueira Dos Santos
2012;A Multi-Criteria Model For Planning And Fine-Tuning Global Agile Software Development Projects;Luis Henrique Almeida
2012;A Multi-Criteria Model For Planning And Fine-Tuning Global Agile Software Development Projects;Plácido Rogerio Pinheiro
2012;A Multi-Criteria Model For Planning And Fine-Tuning Global Agile Software Development Projects;Adriano Bessa Albuquerque
2012;A Multi-Criteria Model For Planning And Fine-Tuning Global Agile Software Development Projects;Luís Henrique Pequeno Almeida
2012;A Multi-Criteria Model For Planning And Fine-Tuning Global Agile Software Development Projects;Plácido Rogério Pinheiro
2012;A Multi-Criteria Model For Planning And Fine-Tuning Global Agile Software Development Projects;Adriano Bessa Albuquerque
2012;An Integration Of Fuzzy Inference Systems And Genetic Algorithms For Wireless Sensor Networks;Ricardo De Andrade Lira Rabelo
2012;An Integration Of Fuzzy Inference Systems And Genetic Algorithms For Wireless Sensor Networks;Liliam Barroso Leal
2012;An Integration Of Fuzzy Inference Systems And Genetic Algorithms For Wireless Sensor Networks;Marcus Vinicius De Sousa Lemos
2012;An Integration Of Fuzzy Inference Systems And Genetic Algorithms For Wireless Sensor Networks;Raimir Holanda Filho
2012;An Integration Of Fuzzy Inference Systems And Genetic Algorithms For Wireless Sensor Networks;Fabio A S Borges
2012;Analyzing A Technology Acceptance Process Through Enactments Of Interaction Design Solutions;Maria Elizabeth Sucupira Furtado
2012;Analyzing A Technology Acceptance Process Through Enactments Of Interaction Design Solutions;Thais Kampf
2012;Applying A Goal Programming Model To Support The Selection Of Artifacts From A Testing Process;Andreia Rodrigues Da Silva
2012;Applying A Goal Programming Model To Support The Selection Of Artifacts From A Testing Process;Fernando Rodrigues De Almeida Júnior
2012;Applying A Goal Programming Model To Support The Selection Of Artifacts From A Testing Process;Plácido Rogerio Pinheiro
2012;Applying Verbal Decision Analysis In Selecting Specific Practices Of Cmmi;Thais Cristina Sampaio Machado
2012;Applying Verbal Decision Analysis In Selecting Specific Practices Of Cmmi;Plácido Rogerio Pinheiro
2012;Applying Verbal Decision Analysis In Selecting Specific Practices Of Cmmi;Adriano Bessa Albuquerque
2012;Applying Verbal Decision Analysis In Selecting Specific Practices Of Cmmi;Marcelo Marcony Leal De Lima
2012;Applying Verbal Decision Analysis In Selecting Specific Practices Of Cmmi;Tais Machado
2012;Applying Verbal Decision Analysis In Selecting Specific Practices Of Cmmi;Plácido Rogério Pinheiro
2012;Applying Verbal Decision Analysis In Selecting Specific Practices Of Cmmi;Adriano Bessa Albuquerque
2012;Characterization Of A Cualbe Alloy With Different Cr Contents;Gemierson Valois Da M Candido
2012;Characterization Of A Cualbe Alloy With Different Cr Contents;T A A Melo
2012;Characterization Of A Cualbe Alloy With Different Cr Contents;Victor Hugo Costa De Albuquerque
2012;Characterization Of A Cualbe Alloy With Different Cr Contents;R M Gomes
2012;Characterization Of A Cualbe Alloy With Different Cr Contents;S J G Lima
2012;Characterization Of A Cualbe Alloy With Different Cr Contents;J M R S Tavares
2012;Comparative Analysis Of Drilling Tools For Composite Laminates;Lui Migue Pereira Durão
2012;Comparative Analysis Of Drilling Tools For Composite Laminates;D J S Gonçalves
2012;Comparative Analysis Of Drilling Tools For Composite Laminates;J M R S Tavares
2012;Comparative Analysis Of Drilling Tools For Composite Laminates;Victor Hugo Costa De Albuquerque
2012;Comparative Analysis Of Drilling Tools For Composite Laminates;António T Marques
2012;Controle Externo Da Governança De Tecnologia Da Informação;Raimir Holanda Filho
2012;Controle Externo Da Governança De Tecnologia Da Informação;Jose Auriço Oliveira
2012;Efficient Supervised Optimum-Path Forest Classification For Large Datasets;J P Papa
2012;Efficient Supervised Optimum-Path Forest Classification For Large Datasets;Alexandre Xavier Falcão
2012;Efficient Supervised Optimum-Path Forest Classification For Large Datasets;Victor Hugo Costa De Albuquerque
2012;Efficient Supervised Optimum-Path Forest Classification For Large Datasets;J M R S Tavares
2012;Interactive Navigation And Exploration Of Virtual Environments On Handheld Devices;Maria Andréia Formico Rodrigues
2012;Interactive Navigation And Exploration Of Virtual Environments On Handheld Devices;Rafael Garcia Barbosa
2012;Interactive Navigation And Exploration Of Virtual Environments On Handheld Devices;Nabor Das Chagas Mendonça
2012;Interactive Navigation And Exploration Of Virtual Environments On Handheld Devices;Maria Andréia Formico Rodrigues
2012;Interactive Navigation And Exploration Of Virtual Environments On Handheld Devices;Rafael G Barbosa
2012;Interactive Navigation And Exploration Of Virtual Environments On Handheld Devices;Nabor C Mendonça
2012;On Query Processing In Wireless Sensor Networks Using Classes Of Quality Of Queries;Angelo Brayner
2012;On Query Processing In Wireless Sensor Networks Using Classes Of Quality Of Queries;André Luis Carvalho Coelho
2012;On Query Processing In Wireless Sensor Networks Using Classes Of Quality Of Queries;Karina Marinho
2012;On Query Processing In Wireless Sensor Networks Using Classes Of Quality Of Queries;Raimir Holanda Filho
2012;On Query Processing In Wireless Sensor Networks Using Classes Of Quality Of Queries;Wagner L T De Castro
2012;Open Government And Citizen Participation In Law Enforcement Via Crowd Mapping;Joao Jose Vasco Peixoto Furtado
2012;Open Government And Citizen Participation In Law Enforcement Via Crowd Mapping;Carlos Caminha
2012;Open Government And Citizen Participation In Law Enforcement Via Crowd Mapping;Leonardo Ayres
2012;Open Government And Citizen Participation In Law Enforcement Via Crowd Mapping;Henrique Santos
2012;Thermal Aging Effects On The Microstructure Of Nb-Bearing Nickel Based Superalloy Weld Overlays Using Ultrasound Techniques;Victor Hugo Costa De Albuquerque
2012;Thermal Aging Effects On The Microstructure Of Nb-Bearing Nickel Based Superalloy Weld Overlays Using Ultrasound Techniques;Cleiton Carvalho Silva
2012;Thermal Aging Effects On The Microstructure Of Nb-Bearing Nickel Based Superalloy Weld Overlays Using Ultrasound Techniques;P G Normando
2012;Thermal Aging Effects On The Microstructure Of Nb-Bearing Nickel Based Superalloy Weld Overlays Using Ultrasound Techniques;Elineudo Pinho De Moura
2012;Thermal Aging Effects On The Microstructure Of Nb-Bearing Nickel Based Superalloy Weld Overlays Using Ultrasound Techniques;J M R S Tavares
2012;Towards Aid By Generate And Solve Methodology: Application In The Problem Of Coverage And Connectivity In Wireless Sensor Networks;Plácido Rogerio Pinheiro
2012;Towards Aid By Generate And Solve Methodology: Application In The Problem Of Coverage And Connectivity In Wireless Sensor Networks;André Luís Vasconcelos Coelho
2012;Towards Aid By Generate And Solve Methodology: Application In The Problem Of Coverage And Connectivity In Wireless Sensor Networks;Alexei Barbosa De Aguiar
2012;Towards Aid By Generate And Solve Methodology: Application In The Problem Of Coverage And Connectivity In Wireless Sensor Networks;Alvaro De Meneses Sobreira Neto
2012;Towards Aid By Generate And Solve Methodology: Application In The Problem Of Coverage And Connectivity In Wireless Sensor Networks;Placido Rogerio Pinheiro
2012;Towards Aid By Generate And Solve Methodology: Application In The Problem Of Coverage And Connectivity In Wireless Sensor Networks;André Luís Vasconcelos Coelho
2012;Towards Aid By Generate And Solve Methodology: Application In The Problem Of Coverage And Connectivity In Wireless Sensor Networks;Alexei Barbosa Aguiar
2012;Towards Aid By Generate And Solve Methodology: Application In The Problem Of Coverage And Connectivity In Wireless Sensor Networks;Alvaro De Menezes Sobreira Neto
2012;Towards The Applied Hybrid Model In Decision Making: Support The Early Diagnosis Of Type 2 Diabetes;Andréa Carvalho Menezes
2012;Towards The Applied Hybrid Model In Decision Making: Support The Early Diagnosis Of Type 2 Diabetes;Plácido Rogerio Pinheiro
2012;Towards The Applied Hybrid Model In Decision Making: Support The Early Diagnosis Of Type 2 Diabetes;Míriam Caliópe Dantas Pinheiro
2012;Towards The Applied Hybrid Model In Decision Making: Support The Early Diagnosis Of Type 2 Diabetes;Tarcísio Pequeno Cavalcante
2012;Towards The Selection Of Prototypes For Educational Tools: A Hybrid Model In The Verbal Decision Analysis;Thais Cristina Sampaio Machado
2012;Towards The Selection Of Prototypes For Educational Tools: A Hybrid Model In The Verbal Decision Analysis;Plácido Rogerio Pinheiro
2012;Towards The Selection Of Prototypes For Educational Tools: A Hybrid Model In The Verbal Decision Analysis;Isabele Tamanini
2012;Uma Abordagem Baseada Em Sistemas De Inferência Fuzzy De Mamdani E Algoritmos Genéticos Para Estimação Da Qualidade De Rotas Em Redes De Sensores Sem Fio Multi-Sink;Ricardo De Andrade Lira Rabelo
2012;Uma Abordagem Baseada Em Sistemas De Inferência Fuzzy De Mamdani E Algoritmos Genéticos Para Estimação Da Qualidade De Rotas Em Redes De Sensores Sem Fio Multi-Sink;Liliam Barroso Leal
2012;Uma Abordagem Baseada Em Sistemas De Inferência Fuzzy De Mamdani E Algoritmos Genéticos Para Estimação Da Qualidade De Rotas Em Redes De Sensores Sem Fio Multi-Sink;Marcus Vinicius De Sousa Lemos
2012;Uma Abordagem Baseada Em Sistemas De Inferência Fuzzy De Mamdani E Algoritmos Genéticos Para Estimação Da Qualidade De Rotas Em Redes De Sensores Sem Fio Multi-Sink;Raimir Holanda Filho
2012;Uma Abordagem Baseada Em Sistemas De Inferência Fuzzy De Mamdani E Algoritmos Genéticos Para Estimação Da Qualidade De Rotas Em Redes De Sensores Sem Fio Multi-Sink;Fabio A S Borges
2012;Using Complex Networks For Mining Malicious Activities In A Collaborative Map;Carlos Caminha
2012;Using Complex Networks For Mining Malicious Activities In A Collaborative Map;Joao Jose Vasco Peixoto Furtado
2013;'Processo De Planejamento Para Produção Execução E Avaliação De Conteúdos Crossmidiáticos Educativos E Televisivos;Rafaela Ponte Lisboa
2013;'Processo De Planejamento Para Produção Execução E Avaliação De Conteúdos Crossmidiáticos Educativos E Televisivos;Maria Elizabeth Sucupira Furtado
2013;'Processo De Planejamento Para Produção Execução E Avaliação De Conteúdos Crossmidiáticos Educativos E Televisivos;Hermínio Borges Neto
2013;A Fuzzy Inference System For Increasing Of Survivability And Efficiency In Wireless Sensor Networks;Jose Sobral
2013;A Fuzzy Inference System For Increasing Of Survivability And Efficiency In Wireless Sensor Networks;Aldir Sousa
2013;A Fuzzy Inference System For Increasing Of Survivability And Efficiency In Wireless Sensor Networks;Harilton Da Silva Araujo
2013;A Fuzzy Inference System For Increasing Of Survivability And Efficiency In Wireless Sensor Networks;Rodrigo Baluz
2013;A Fuzzy Inference System For Increasing Of Survivability And Efficiency In Wireless Sensor Networks;Raimir Holanda Filho
2013;A Fuzzy Inference System For Increasing Of Survivability And Efficiency In Wireless Sensor Networks;Marcus Vinicius De Sousa Lemos
2013;A Fuzzy Inference System For Increasing Of Survivability And Efficiency In Wireless Sensor Networks;Ricardo De Andrade Lira Rabelo
2013;A Hybrid Approach Of Bundle And Benders Applied Large Mixed Linear Integer Problem;Plácido Rogerio Pinheiro
2013;A Hybrid Approach Of Bundle And Benders Applied Large Mixed Linear Integer Problem;Paulo Roberto Oliveira
2013;A Hybrid Methodology For Nesting Irregular Shapes: Case Study On A Textile Industry*;Bonfim A Junior
2013;A Hybrid Methodology For Nesting Irregular Shapes: Case Study On A Textile Industry*;Plácido Rogerio Pinheiro
2013;A Hybrid Methodology For Nesting Irregular Shapes: Case Study On A Textile Industry*;Rommel D Saraiva
2013;A Hybrid Methodology For Tackling The Irregular Strip Packing Problem*;Bonfim A Junior
2013;A Hybrid Methodology For Tackling The Irregular Strip Packing Problem*;Plácido Rogerio Pinheiro
2013;A Hybrid Methodology For Tackling The Irregular Strip Packing Problem*;Rommel D Saraiva
2013;A Multi-Criteria Decision Model For Planning Inter-Organizational Global Agile Software Development Projects;Luís Henrique Pequeno Almeida
2013;A Multi-Criteria Decision Model For Planning Inter-Organizational Global Agile Software Development Projects;Adriano Bessa Albuquerque
2013;A Multi-Criteria Decision Model For Planning Inter-Organizational Global Agile Software Development Projects;Plácido Rogerio Pinheiro
2013;A Multi-Criteria Decision Model For Planning Inter-Organizational Global Agile Software Development Projects;Luís Henrique Pequeno Almeida
2013;A Multi-Criteria Decision Model For Planning Inter-Organizational Global Agile Software Development Projects;Adriano Bessa Albuquerque
2013;A Multi-Criteria Decision Model For Planning Inter-Organizational Global Agile Software Development Projects;Plácido Rogério Pinheiro
2013;A Semi-Automated Method For Acquisition Of Common-Sense And Inferentialist Knowledge;Vládia Célia Monteiro Pinheiro
2013;A Semi-Automated Method For Acquisition Of Common-Sense And Inferentialist Knowledge;Vasco Furtado
2013;A Semi-Automated Method For Acquisition Of Common-Sense And Inferentialist Knowledge;Tarcísio Pequeno
2013;A Semi-Automated Method For Acquisition Of Common-Sense And Inferentialist Knowledge;Wellington Franco
2013;A Semi-Automated Method For Acquisition Of Common-Sense And Inferentialist Knowledge;Vládia Pinheiro
2013;A Semi-Automated Method For Acquisition Of Common-Sense And Inferentialist Knowledge;Joao Jose Vasco Peixoto Furtado
2013;A Semi-Automated Method For Acquisition Of Common-Sense And Inferentialist Knowledge;Tarcisio Pequeno
2013;A Semi-Automated Method For Acquisition Of Common-Sense And Inferentialist Knowledge;José Wellington Franco
2013;Análise De Walkthroughs Em Cenários 3D De Um Jogo Utilizando Algoritmos De Visibilidade E Estruturas De Particionamento Espacial;Yvens Rebouças Serpa
2013;Análise De Walkthroughs Em Cenários 3D De Um Jogo Utilizando Algoritmos De Visibilidade E Estruturas De Particionamento Espacial;Maria Andréia Formico Rodrigues
2013;Applying Verbal Decision Analysis In The Selecting Practices Of Framework Scrum;Thais Cristina Sampaio Machado
2013;Applying Verbal Decision Analysis In The Selecting Practices Of Framework Scrum;Plácido Rogerio Pinheiro
2013;Applying Verbal Decision Analysis In The Selecting Practices Of Framework Scrum;Henrique Farias Landim
2013;Automatic Microstructural Characterization And Classification Using Artificial Intelligence Techniques On Ultrasound Signals;Thiago Monteiro Nunes
2013;Automatic Microstructural Characterization And Classification Using Artificial Intelligence Techniques On Ultrasound Signals;Victor Hugo Costa De Albuquerque
2013;Automatic Microstructural Characterization And Classification Using Artificial Intelligence Techniques On Ultrasound Signals;J P Papa
2013;Automatic Microstructural Characterization And Classification Using Artificial Intelligence Techniques On Ultrasound Signals;Cleiton Carvalho Silva
2013;Automatic Microstructural Characterization And Classification Using Artificial Intelligence Techniques On Ultrasound Signals;P G Normando
2013;Automatic Microstructural Characterization And Classification Using Artificial Intelligence Techniques On Ultrasound Signals;Elineudo Pinho De Moura
2013;Automatic Microstructural Characterization And Classification Using Artificial Intelligence Techniques On Ultrasound Signals;Joao Manuel Tavares
2013;Computer Techniques Towards The Automatic Characterization Of Graphite Particles In Metallographic Images Of Industrial Materials;João Paulo Papa
2013;Computer Techniques Towards The Automatic Characterization Of Graphite Particles In Metallographic Images Of Industrial Materials;Rodrigo Y M Nakamura
2013;Computer Techniques Towards The Automatic Characterization Of Graphite Particles In Metallographic Images Of Industrial Materials;Victor Hugo Costa De Albuquerque
2013;Computer Techniques Towards The Automatic Characterization Of Graphite Particles In Metallographic Images Of Industrial Materials;Alexandre Xavier Falcão
2013;Computer Techniques Towards The Automatic Characterization Of Graphite Particles In Metallographic Images Of Industrial Materials;João Manuel R S Tavares
2013;Creating And Evaluating A Particle System For Music Visualization;Joyce Horn Fonteles
2013;Creating And Evaluating A Particle System For Music Visualization;Maria Andréia Formico Rodrigues
2013;Creating And Evaluating A Particle System For Music Visualization;Victor E Basso
2013;Damage Evaluation Of Drilled Carbon/Epoxy Laminates Based On Area Assessment Methods;Luís Miguel Pereira Durão
2013;Damage Evaluation Of Drilled Carbon/Epoxy Laminates Based On Area Assessment Methods;João Manuel R S Tavares
2013;Damage Evaluation Of Drilled Carbon/Epoxy Laminates Based On Area Assessment Methods;Victor Hugo Costa De Albuquerque
2013;Damage Evaluation Of Drilled Carbon/Epoxy Laminates Based On Area Assessment Methods;Daniel J S Gonçalves
2013;Dealing The Selection Of Project Management Through Hybrid Model Of Verbal Decision Analysis;Plácido Rogerio Pinheiro
2013;Dealing The Selection Of Project Management Through Hybrid Model Of Verbal Decision Analysis;Thais Cristina Sampaio Machado
2013;Dealing The Selection Of Project Management Through Hybrid Model Of Verbal Decision Analysis;Isabelle Tamanini
2013;Drilling Delamination Outcomes On Glass And Sisal Reinforced Plastics;Lui Migue Pereira Durão
2013;Drilling Delamination Outcomes On Glass And Sisal Reinforced Plastics;D J S Gonçalves
2013;Drilling Delamination Outcomes On Glass And Sisal Reinforced Plastics;J M R S Tavares
2013;Drilling Delamination Outcomes On Glass And Sisal Reinforced Plastics;Victor Hugo Costa De Albuquerque
2013;Drilling Delamination Outcomes On Glass And Sisal Reinforced Plastics;Túlio H Panzera
2013;Drilling Delamination Outcomes On Glass And Sisal Reinforced Plastics;Leandro J Silva
2013;Drilling Delamination Outcomes On Glass And Sisal Reinforced Plastics;A Aguiar Vieira
2013;Drilling Delamination Outcomes On Glass And Sisal Reinforced Plastics;A M Baptista
2013;Ecg Arrhythmia Classification Based On Optimum-Path Forest;Eduardo José Da S Luz
2013;Ecg Arrhythmia Classification Based On Optimum-Path Forest;T M Nunes
2013;Ecg Arrhythmia Classification Based On Optimum-Path Forest;Victor Hugo Costa De Albuquerque
2013;Ecg Arrhythmia Classification Based On Optimum-Path Forest;João Paulo Papa
2013;Ecg Arrhythmia Classification Based On Optimum-Path Forest;David Menotti
2013;Handing Optimization Energy Consumption In Heterogeneous Wireless Sensor Networks;Plácido Rogerio Pinheiro
2013;Handing Optimization Energy Consumption In Heterogeneous Wireless Sensor Networks;Álvaro Meneses Sobreira Neto
2013;Handing Optimization Energy Consumption In Heterogeneous Wireless Sensor Networks;Alexei Barbosa Aguiar
2013;Hci Community In Brazil---Sweet 16!;Raquel Oliveira Prates
2013;Hci Community In Brazil---Sweet 16!;Tuomo Kujala
2013;Hci Community In Brazil---Sweet 16!;Simone Diniz Junqueira Barbosa
2013;Hci Community In Brazil---Sweet 16!;Milene S Da Silveira
2013;Hci Community In Brazil---Sweet 16!;Clarisse Sieckenius De Souza
2013;Hci Community In Brazil---Sweet 16!;Cecilia Baranauskas
2013;Hci Community In Brazil---Sweet 16!;Cristiano Maciel
2013;Hci Community In Brazil---Sweet 16!;Maria Elizabeth Sucupira Furtado
2013;Hci Community In Brazil---Sweet 16!;Junia Anacleto
2013;Hci Community In Brazil---Sweet 16!;Paulo Melo
2013;Implementation And Empirical Assessment Of A Web Application Cloud Deployment Tool;Américo Sampaio
2013;Implementation And Empirical Assessment Of A Web Application Cloud Deployment Tool;Roberto Costa Lima Jr
2013;Implementation And Empirical Assessment Of A Web Application Cloud Deployment Tool;Nabor Das Chagas Mendonça
2013;Implementation And Empirical Assessment Of A Web Application Cloud Deployment Tool;Ricardo Holanda Filho
2013;Implementation And Empirical Assessment Of A Web Application Cloud Deployment Tool;Americo Tadeu Falcone Sampaio
2013;Implementation And Empirical Assessment Of A Web Application Cloud Deployment Tool;Roberto Costa
2013;Implementation And Empirical Assessment Of A Web Application Cloud Deployment Tool;Ricardo Holanda Filho
2013;Implementation And Empirical Assessment Of A Web Application Cloud Deployment Tool;Nabor Mendonça
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Uira Kulesza
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Vander Alves
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Roberta Coelho
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Eduardo Figueiredo
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Paulo F Pires
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Flavia C Delicato
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Eduardo Piveta
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Carla Silva
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Valter Camargo
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Rosana Braga
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Otávio Lemos
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Sérgio Castelo Branco Soares
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Rodrigo Bonifacio
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Nabor Das Chagas Mendonça
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Thais Batista
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Nélio Cacho
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Arndt Von Staa
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Fabio Silveira
2013;The Crosscutting Impact Of The Aosd Brazilian Research Community;Marco Tulio Oliveira Valente
